region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,ynm_two_color_001_mn,ynm,two_color,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,ynm_two_color_002_mnmnn,ynm,two_color,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,ynm_two_color_003_mnn,ynm,two_color,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,ynm_two_color_004_nmnn,ynm,two_color,ymyy,nmnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,ynm_two_color_005_nnmnn,ynm,two_color,yymyy,nnmnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411764,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,ynm_two_color_006_n,ynm,two_color,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,ynm_two_color_007_nnynn,ynm,two_color,yycyy,nnynn,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#a19f75,0.6329411764705881,0.6235294117647058,0.4580392156862745,64.71985701937079,-6.081445894802917,22.405802387216056,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,ynm_two_color_008_nynn,ynm,two_color,ycyy,nynn,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#a7a36e,0.6558823529411764,0.6392156862745098,0.4294117647058823,66.17676670849767,-6.831586615665075,28.394326382394187,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,ynm_two_color_009_ynn,ynm,two_color,cyy,ynn,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#b1aa61,0.6941176470588234,0.665359477124183,0.38169934640522873,68.63668231180478,-7.740294518607637,38.09957989132911,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,ynm_two_color_010_ynynn,ynm,two_color,cycyy,ynynn,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#b9af58,0.7247058823529411,0.6862745098039215,0.34352941176470586,70.62795399013348,-8.197513426595027,45.53479237582603,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
