region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_o,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,yom_two_color_001_mo,yom,two_color,my,mo,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#e14a58,0.8823529411764706,0.2882352941176471,0.34509803921568627,53.54422411041759,59.41211690493975,25.270447288206512,"[[0.5, 0.34641016151377513], [0.5, 0.34641016151377513], [0.5, 0.28867513459481287], [0.55, 0.2598076211353315], [0.5500000000000003, 0.25980762113533146], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,2,2,two_color
2,yom_two_color_002_momoo,yom,two_color,mymyy,momoo,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#e7534c,0.9058823529411765,0.3262745098039216,0.29647058823529415,55.8139974622423,56.7134096855314,35.498889888143104,"[[0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.44263520637871284], [0.49999999999999994, 0.3464101615137752], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,2,2,two_color
3,yom_two_color_003_moo,yom,two_color,myy,moo,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#eb5a43,0.9215686274509803,0.3516339869281046,0.26405228758169935,57.39852042880595,54.90663095909532,42.082164119748555,"[[0.5, 0.5292377467571571], [0.4999999999999999, 0.5292377467571567], [0.49999999999999994, 0.4426352063787129], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,2,2,two_color
4,yom_two_color_004_omoo,yom,two_color,ymyy,omoo,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#f06239,0.9411764705882353,0.38333333333333336,0.22352941176470587,59.448011134100184,52.65300814714402,49.88283392374061,"[[0.5, 0.6062177826491071], [0.5, 0.6062177826491071], [0.5, 0.529237746757157], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,2,2,two_color
5,yom_two_color_005_oomoo,yom,two_color,yymyy,oomoo,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#f36733,0.9529411764705882,0.4023529411764706,0.1992156862745098,60.70995235657307,51.307850870585206,54.25771386802355,"[[0.5, 0.7505553499465134], [0.5, 0.6062177826491071], [0.6125, 0.6711696879329399], [0.55, 0.7794228634059948]]",6,2,2,two_color
6,yom_two_color_006_o,yom,two_color,y,o,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#ff7a1a,1.0,0.47843137254901963,0.10196078431372549,65.95057778279283,46.01545402094476,68.57062418706151,"[[0.45, 0.7794228634059948], [0.5, 0.7505553499465135], [0.5499999999999999, 0.7794228634059948], [0.5, 0.8660254037844386]]",6,2,2,two_color
7,yom_two_color_007_ooyoo,yom,two_color,yycyy,ooyoo,0.2,0.8,0.0,0.2,0.8,0.0,0.4,0.6928203230275509,#ff8e15,1.0,0.5576470588235295,0.0815686274509804,69.9827856485692,35.900579068845914,72.69096121414668,"[[0.45, 0.7794228634059948], [0.38750000000000007, 0.6711696879329401], [0.5, 0.6062177826491071], [0.49999999999999994, 0.606217782649107], [0.5, 0.7505553499465134]]",6,2,2,two_color
8,yom_two_color_008_oyoo,yom,two_color,ycyy,oyoo,0.25,0.75,0.0,0.25,0.75,0.0,0.375,0.649519052838329,#ff9314,1.0,0.5774509803921569,0.07647058823529412,71.04973524387583,33.302977338059705,73.70192716191266,"[[0.49999999999999994, 0.6062177826491072], [0.38750000000000007, 0.6711696879329401], [0.3541666666666665, 0.6134346610139771], [0.4999999999999999, 0.5292377467571566], [0.5, 0.529237746757157], [0.5, 0.606217782649107]]",6,2,2,two_color
9,yom_two_color_009_yoo,yom,two_color,cyy,yoo,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.5773502691896257,#ff9c11,1.0,0.6104575163398693,0.06797385620915032,72.87373589050357,28.9356606984682,75.37165258562459,"[[0.5000000000000001, 0.5292377467571565], [0.3541666666666665, 0.6134346610139771], [0.31666666666666654, 0.5484827557301443], [0.4999999999999999, 0.44263520637871295], [0.49999999999999994, 0.4426352063787134], [0.49999999999999994, 0.529237746757157]]",6,2,2,two_color
10,yom_two_color_010_yoyoo,yom,two_color,cycyy,yoyoo,0.4,0.6,0.0,0.4,0.6,0.0,0.3,0.5196152422706631,#ffa210,1.0,0.6368627450980393,0.0611764705882353,74.37079615128846,25.418703439362755,76.6951025205173,"[[0.49999999999999994, 0.44263520637871295], [0.3166666666666666, 0.5484827557301443], [0.27500000000000013, 0.47631397208144144], [0.5, 0.3464101615137757], [0.5, 0.34641016151377535], [0.5, 0.4426352063787127]]",6,2,2,two_color
