region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_c,f_v,f_y,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,cvy_full_001_yv,cvy,full,my,yv,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#b99b80,0.7235294117647059,0.607843137254902,0.5,65.93640238209338,6.813827607940526,18.508882545113046,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,cvy_full_002_cyv,cvy,full,cmy,cyv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#8eaa9e,0.5581699346405229,0.6666666666666666,0.6209150326797386,67.28384535020328,-11.923533525934559,2.830244190668285,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,cvy_full_003_cyvyv,cvy,full,cmymy,cyvyv,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#9fa492,0.6243137254901961,0.6431372549019608,0.5725490196078431,66.53342828325253,-5.03435861924989,8.757952417112524,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,cvy_full_004_yvyvv,cvy,full,mymyy,yvyvv,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#aa8d99,0.6682352941176471,0.5545098039215687,0.6,61.70544539851048,12.889352372441987,-2.03967493681414,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,cvy_full_005_yvv,cvy,full,myy,yvv,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#a184aa,0.6313725490196078,0.5189542483660131,0.6666666666666666,59.041755451852595,17.9163484560515,-15.805627886917906,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,cvy_full_006_cvyvyv,cvy,full,cymymy,cvyvyv,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#9897a4,0.5947712418300654,0.5928104575163399,0.6437908496732027,62.94117218782549,2.7762896843663287,-6.727074273439326,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,cvy_full_007_yvvv,cvy,full,myyy,yvvv,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#9579bf,0.5852941176470589,0.4745098039215687,0.75,55.94778352329082,25.349647322433334,-32.79985316585119,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,cvy_full_008_yvvvv,cvy,full,myyyy,yvvvv,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#8e72cc,0.5576470588235295,0.44784313725490205,0.8,54.246564323511976,30.404083053306884,-42.78055011100697,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,cvy_full_009_yvvvvv,cvy,full,myyyyy,yvvvvv,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#8a6ed5,0.5392156862745099,0.43006535947712426,0.8333333333333334,53.188314508050524,34.00110044802124,-49.312438487448176,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,cvy_full_010_v,cvy,full,y,v,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#7257ff,0.4470588235294118,0.3411764705882353,1.0,49.0221678957536,53.970442144664624,-79.9984025813113,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
