region_index,label,corner_label,condition,local_stack_token,stack_token,f_bottom_left,f_top,f_bottom_right,f_y,f_n,f_m,site_x,site_y,expected_hex,expected_R,expected_G,expected_B,expected_L,expected_a,expected_b,polygon_xy,max_height,max_run,distinct_lte,preset
1,ynm_full_001_mn,ynm,full,my,mn,0.0,0.5,0.5,0.0,0.5,0.5,0.75,0.4330127018922193,#a65494,0.6529411764705881,0.32941176470588235,0.580392156862745,47.805157734402606,42.521479006203236,-20.047639669346818,"[[0.6666666666666666, 0.44263520637871306], [0.6666666666666666, 0.4041451884327384], [0.6833333333333337, 0.3752776749732563], [0.7166666666666667, 0.356032666000269], [0.7750000000000001, 0.38971143170299727], [0.7250000000000001, 0.47631397208144116]]",6,5,5,full
2,ynm_full_002_ymn,ynm,full,cmy,ymn,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287,#c48263,0.7686274509803921,0.5111111111111111,0.38692810457516336,60.50437490902212,21.767943245449896,27.4390464821632,"[[0.55, 0.23094010767585016], [0.5750000000000001, 0.2742413778650722], [0.525, 0.3608439182435162], [0.475, 0.3608439182435162], [0.42499999999999993, 0.27424137786507224], [0.45, 0.23094010767585016]]",6,5,5,full
3,ynm_full_003_ymnmn,ynm,full,cmymy,ymnmn,0.2,0.4,0.4,0.2,0.4,0.4,0.6000000000000001,0.34641016151377546,#b87076,0.7223529411764705,0.43843137254901965,0.464313725490196,55.153751038111196,29.45370055372387,8.6222482131719,"[[0.6000000000000006, 0.27905263010831916], [0.6833333333333337, 0.3752776749732563], [0.6666666666666666, 0.40414518843273833], [0.5416666666666666, 0.3800889272165036], [0.5249999999999999, 0.36084391824351614], [0.575, 0.2742413778650722]]",6,5,5,full
4,ynm_full_004_mnmnn,ynm,full,mymyy,mnmnn,0.0,0.6,0.4,0.0,0.6,0.4,0.7,0.5196152422706631,#a16094,0.6305882352941176,0.3756862745098039,0.5788235294117646,49.51110263516371,34.24933449875767,-17.265374749468055,"[[0.6166666666666667, 0.5099927377841692], [0.6666666666666667, 0.442635206378713], [0.7250000000000001, 0.47631397208144116], [0.6833333333333335, 0.5484827557301443]]",6,5,5,full
5,ynm_full_005_mnn,ynm,full,myy,mnn,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5773502691896257,#9d6893,0.6156862745098038,0.40653594771241836,0.5777777777777777,50.827170867956525,28.48030716878547,-15.147425241078327,"[[0.5833333333333334, 0.5773502691896258], [0.5833333333333334, 0.5484827557301436], [0.5916666666666665, 0.52442649451391], [0.6166666666666667, 0.5099927377841692], [0.6833333333333335, 0.5484827557301444], [0.6458333333333334, 0.6134346610139774]]",6,5,5,full
6,ynm_full_006_ynmnmn,ynm,full,cymymy,ynmnmn,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333333,0.4330127018922193,#b0757b,0.6921568627450979,0.4588235294117647,0.4823529411764705,55.525724820685625,24.213840502053664,6.339824475109657,"[[0.6166666666666668, 0.5099927377841692], [0.5916666666666663, 0.5244264945139101], [0.5416666666666666, 0.47631397208144155], [0.5416666666666665, 0.3800889272165036], [0.6666666666666667, 0.40414518843273833], [0.6666666666666667, 0.44263520637871284]]",6,5,5,full
7,ynm_full_007_mnnn,ynm,full,myyy,mnnn,0.0,0.75,0.25,0.0,0.75,0.25,0.625,0.649519052838329,#987293,0.5970588235294116,0.4450980392156863,0.5764705882352941,52.65165932914287,21.092189602569754,-12.242675339448228,"[[0.55, 0.6350852961085884], [0.5833333333333334, 0.5773502691896258], [0.6458333333333334, 0.6134346610139774], [0.6125, 0.6711696879329399]]",6,5,5,full
8,ynm_full_008_mnnnn,ynm,full,myyyy,mnnnn,0.0,0.8,0.2,0.0,0.8,0.2,0.6000000000000001,0.6928203230275509,#957793,0.5858823529411763,0.4682352941176471,0.5756862745098038,53.83252918446905,16.609472422440042,-10.379417915150535,"[[0.5166666666666657, 0.6639528095680706], [0.55, 0.6350852961085883], [0.6125, 0.6711696879329399], [0.5916666666666659, 0.7072540797572928]]",6,5,5,full
9,ynm_full_009_mnnnnn,ynm,full,myyyyy,mnnnnn,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.5833333333333334,0.7216878364870322,#937b93,0.5784313725490194,0.4836601307189543,0.5751633986928103,54.65242362331111,13.614610296575236,-9.092823493895974,"[[0.5000000000000002, 0.7698003589195007], [0.5000000000000001, 0.6735753140545636], [0.5166666666666656, 0.6639528095680706], [0.5916666666666659, 0.7072540797572928], [0.5416666666666669, 0.7938566201357351]]",6,5,5,full
10,ynm_full_010_n,ynm,full,y,n,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.8660254037844386,#8a8f92,0.5411764705882353,0.5607843137254902,0.5725490196078431,59.08831744726014,-1.2137183135860763,-2.223898189538698,"[[0.4583333333333333, 0.7938566201357353], [0.5000000000000002, 0.7698003589195007], [0.5416666666666667, 0.7938566201357351], [0.5, 0.8660254037844386]]",6,5,5,full
